titulo,count_reviews,publisher_name,category,count_installs,rating
Home Design : Word Life,14664,CookApps,Word,1000000,4.4
4 Fotos 1 Palabra,1190014,LOTUM GmbH,Word,50000000,4.5
Word Connect- Word Games:Word Search Offline Games,88434,Connect Word Games,Word,5000000,4.6
Piknik Slovo - Word Snack,93589,APNAX Games,Word,1000000,4.6
Palabras Cruz,249288,WePlay Word Games,Word,10000000,4.5
Wordscapes Search,51501,PeopleFun,Word,1000000,4.7
Word Nut: Word Puzzle Games & Crosswords,65865,Super Nutty Games LLC,Word,1000000,4.8
Minion Rush: Despicable Me Official Game,10609723,Gameloft SE,Casual,100000000,4.4
Evil Nun : Scary Horror Game Adventure,415633,Keplerians Horror Games,Arcade,10000000,4.3
Words of Wonders: Search,63885,Fugo Games,Word,5000000,4.6
Jewels Switch,749282,Words Mobile,Arcade,10000000,4.7
Save the Fish - Pull the Pin Game,40549,Timuz Games,Arcade,5000000,4.3
Aura Bubbles,25578,Blast 2 Fun Games,Arcade,10000000,4.0
Ice Scream 1: Horror Neighborhood,203144,Keplerians Horror Games,Arcade,10000000,4.2
Jigsaw Puzzles Epic,344354,Kristanix Games,Puzzle,10000000,4.5
Escape game : 50 rooms 1,664733,BusColdApp,Puzzle,10000000,4.4
Find the Difference 1000+ levels,71517,Gamma Play,Puzzle,5000000,4.6
Love Balls,637982,Lion Studios,Puzzle,100000000,4.1
Find Out - Find Something & Hidden Objects,243075,Focus apps,Puzzle,10000000,4.3
Tiledom - Matching Games,96375,Spearmint Games,Puzzle,10000000,4.4
Jigsaw Puzzles - Puzzle Game,769271,Easybrain,Puzzle,10000000,4.5
Smart Puzzles Collection,309278,App Holdings,Puzzle,10000000,4.4
Happy Glass,904479,Lion Studios,Puzzle,100000000,3.8
Brain Out – Can you pass it?,3676196,Focus apps,Puzzle,100000000,4.3
Two Dots,864957,PlayDots,Puzzle,10000000,4.4
Roll the Ball® - slide puzzle,1548994,BitMango,Puzzle,100000000,4.2
Truth or Dare,51619,nixGames,Trivia,1000000,4.4
Clockmaker,299215,BELKA GAMES,Puzzle,10000000,4.4
Quiz Planet,34600,LOTUM one GmbH,Trivia,1000000,4.1
Logo Quiz World,36793,MSI Apps,Trivia,5000000,4.1
Logo Game: Guess Brand Quiz,162438,Logos Box,Trivia,10000000,4.0
Dig This!,487222,Raketspel,Puzzle,50000000,4.4
Fight List - Categories Game,278403,VOODOO,Trivia,10000000,3.9
Quiz Of Kings,72070,Elyas Nadali,Trivia,1000000,4.6
TRIVIA 360,102783,Smart Owl Apps,Trivia,5000000,4.4
Star Girl: Spooky Styles,82036,Star Girl Apps,Trivia,1000000,4.4
Knowledge is Power,17525,PlayStation Mobile Inc.,Trivia,5000000,4.4
"Geography Quiz - flags, maps & coats of arms",39438,MTapps,Trivia,1000000,4.2
Quiz: Logo game,410089,Lemmings at work,Trivia,10000000,4.3
Bubble Shooter Classic,21782,Free Bubble Shooter Games,Trivia,1000000,4.1
Millionaire 2020 -  Free Game. Questions & Answers,63577,Submarine Apps,Trivia,10000000,4.3
60 Brain Games: Free Mental Training!,22700,Peoresnada.com,Trivia,5000000,4.0
Tricky Test 2™: Genius Brain?,647734,Orangenose Studio,Trivia,10000000,4.7
Picture Quiz: Logos,300432,TimeGlass Works,Trivia,10000000,4.5
Logo Quiz,1181277,bubble quiz games,Trivia,50000000,4.3
Who is? Brain Teaser & Riddles,20318,Unico Studio,Trivia,1000000,4.4
"94% - Quiz, Trivia & Logic",2603120,Scimob,Trivia,10000000,4.5
Geometry Dash Meltdown,1691700,RobTop Games,Arcade,50000000,4.5
Incredible Jack: Jumping & Running (Offline Games),137568,Inverse Metric LLC,Arcade,10000000,4.5
Payback 2 - The Battle Sandbox,1044801,Apex Designs Entertainment Ltd,Arcade,100000000,4.3
Zombie Roadkill 3D,1054684,Italic Games,Arcade,50000000,4.3
Hole.io,1032951,VOODOO,Arcade,50000000,4.1
Fruit Ninja®,5299572,Halfbrick Studios,Arcade,100000000,4.3
Sonic Dash 2: Sonic Boom,621666,SEGA,Arcade,50000000,4.2
Talking Tom Candy Run,108507,Outfit7 Limited,Arcade,10000000,4.3
Hungry Shark World,1717136,Ubisoft Entertainment,Arcade,50000000,4.4
Knife Hit,869031,Ketchapp,Arcade,100000000,4.3
Angry Birds Transformers,1862297,Rovio Entertainment Corporation,Arcade,50000000,4.6
Rider,1003728,Ketchapp,Arcade,50000000,4.0
Cooking Fever,4314698,Nordcurrent,Arcade,100000000,4.3
Slash & Girl - Endless Run,40338,RedFish Games,Arcade,1000000,4.4
Kpop music game 2020 - Magic Dream Tiles,165933,Dream Tiles Piano Game Studio,Arcade,10000000,4.5
PAC-MAN,836479,BANDAI NAMCO Entertainment America Inc.,Arcade,100000000,4.0
Bricks Breaker Quest,362420,mobirix,Arcade,50000000,4.3
Geometry Dash SubZero,526046,RobTop Games,Arcade,10000000,4.4
Smash Hit,4512933,Mediocre,Arcade,100000000,4.5
Swipe Brick Breaker,128698,Nine Games,Arcade,10000000,4.5
Bubble Shooter 2,112059,Bubble Shooter Artworks,Arcade,10000000,4.0
Jewels Legend - Match 3 Puzzle,474759,LinkDesks - Jewel Games Star,Arcade,10000000,4.6
Jetpack Joyride,4872719,Halfbrick Studios,Arcade,100000000,4.5
Zombie 3D Gun Shooter- Real Survival Warfare,44641,Fun Shooting Games For Free,Arcade,10000000,4.2
John GBA - GBA emulator,12028,John emulators,Arcade,100000,4.6
Grow Castle,367561,RAON GAMES,Arcade,10000000,4.4
Geometry Dash World,969919,RobTop Games,Arcade,50000000,4.3
Grand Theft Auto: Vice City,154536,Rockstar Games,Arcade,1000000,4.2
THE KING OF FIGHTERS-A 2012,11100,SNK CORPORATION,Arcade,50000,4.0
Fruit Ninja Classic,88110,Halfbrick Studios,Arcade,1000000,4.1
Geometry Dash,740913,RobTop Games,Arcade,1000000,4.6
Bubble Shooter: Panda Pop!,1129344,"Jam City, Inc.",Puzzle,50000000,4.6
Manor Cafe,1045373,GAMEGOS,Puzzle,10000000,4.5
Cut the Rope 2,2282600,ZeptoLab,Puzzle,100000000,4.6
Space Shooter: Alien vs Galaxy Attack (Premium),16073,ONESOFT,Arcade,1000000,3.9
Sand Balls - Puzzle Game,1288597,SayGames,Puzzle,100000000,4.1
Unblock Ball - Block Puzzle,593079,Fun Free Fun,Puzzle,50000000,4.2
Charms of the Witch: Magic Mystery Match 3 Games,22986,Nevosoft Inc,Puzzle,1000000,4.5
Jewel Empire : Quest & Match 3 Puzzle,11059,Teskin Games,Puzzle,1000000,4.4
AMAZE!,223666,Crazy Labs by TabTale,Puzzle,10000000,4.1
Jewels Classic - Jewel Crush Legend,158213,Ivy,Puzzle,10000000,4.4
Zumbla Classic,37299,Group Studios,Puzzle,1000000,4.5
Bubble Pop Origin! Puzzle Game,29630,BitMango,Puzzle,1000000,4.5
Bubble Shooter ™,145005,Ilyon,Puzzle,10000000,4.1
Human: Fall Flat,12560,505 Games Srl,Puzzle,100000,4.2
Monument Valley 2,54392,ustwo games,Puzzle,1000000,4.8
Toy Blast,2768387,Peak,Puzzle,50000000,4.6
Bridge Constructor Portal,10928,Headup,Puzzle,100000,4.5
Between the lines,19321,Romain Lebouc,Trivia,1000000,4.4
Can you escape the 100 room IV,147956,EscapeFunHK,Trivia,1000000,4.5
Trick Me: Logical Brain Teasers Puzzle,79467,Narcade,Trivia,1000000,4.3
The Room,258016,Fireproof Games,Puzzle,1000000,4.8
Quiz - Offline Games,48037,The Angry Kraken,Trivia,5000000,4.1
Flags of All Countries of the World: Guess-Quiz,41392,Andrey Solovyev,Trivia,5000000,4.2
World Geography - Quiz Game,177278,Atom Games Ent.,Trivia,10000000,4.6
101 Pics: Photo Quiz,48067,OpenMyGame,Trivia,5000000,4.3
Gems or jewels ?,286220,Time for awesome game,Puzzle,10000000,4.6
World Map Quiz,32922,Qbis Studio,Trivia,1000000,4.6
General Knowledge Quiz,23273,TIMLEG,Trivia,1000000,4.3
Bake it,107122,Kwalee Ltd,Casual,10000000,4.1
The Cook - 3D Cooking Game,213583,SayGames,Casual,10000000,4.2
My Cafe — Restaurant game,3926698,Melsoft Games,Casual,50000000,4.6
